szerokość przekroju;wysokość przekroju;rozpiętość;stopień zbrojenia;średnica zbrojenia;Otulina;Moduł Younga stali;Moduł Younga betonu;Wytrzymałość betonu na rozciąganie;Obciążenie;Ugięcia
0.24;0.26;2.9;1;0.016;0.03;200;30;2.6;37;0.004654979
0.24;0.37;3.3;0.89;0.024;0.03;200;33;2.5;44.2;0.002460341
0.2;0.31;5.5;1.28;0.013;0.035;200;30;2.7;36.7;0.019911007
0.16;0.25;5.4;0.57;0.021;0.032;200;32;2.3;44;0.124435633
0.19;0.32;5.7;0.94;0.009;0.025;200;31;2.5;44;0.029139962
0.21;0.35;4.5;0.71;0.016;0.036;200;33;2.5;38.4;0.011174415
0.23;0.28;7.1;1.15;0.021;0.034;200;29;2.4;36.6;0.063557166
0.17;0.26;7.1;0.54;0.02;0.03;200;31;2.4;42.1;0.224884587
0.16;0.38;6.2;0.67;0.021;0.037;200;33;2.5;44;0.038865873
0.22;0.22;4.5;0.85;0.019;0.027;200;32;2.4;43.6;0.053576625
0.16;0.2;5.6;0.8;0.019;0.026;200;29;2.5;43.1;0.21143563
0.22;0.4;7.5;1.28;0.008;0.029;200;30;2.3;43.2;0.021449065
0.23;0.31;5.5;0.62;0.015;0.032;200;33;2.6;42.8;0.035830373
0.17;0.22;3.5;0.9;0.019;0.029;200;31;2.4;42.4;0.031487962
0.22;0.33;2.8;1.16;0.013;0.03;200;32;2.3;37.6;0.001493647
0.17;0.24;5.2;0.92;0.014;0.028;200;32;2.4;37.4;0.061932011
0.16;0.35;3;0.68;0.023;0.035;200;31;2.2;42.7;0.00529892
0.19;0.26;4.4;1.17;0.008;0.039;200;29;2.4;43.1;0.02719014
0.18;0.33;7.1;1.02;0.023;0.034;201;28;2.5;42;0.058498124
0.2;0.28;7.5;0.58;0.025;0.04;202;31;2.5;40.3;0.181286022
0.25;0.39;5;1.23;0.014;0.032;203;28;2.5;36.7;0.004107525
0.22;0.37;7.7;1.06;0.014;0.027;204;28;2.6;36.7;0.029177705
0.24;0.4;6.8;0.81;0.019;0.028;205;31;2.2;38.3;0.018407207
0.18;0.4;7.3;0.9;0.014;0.033;206;31;2.5;35.2;0.026652564
0.16;0.37;3.5;0.73;0.023;0.031;207;32;2.7;38.1;0.005042843
0.21;0.21;6.2;0.61;0.019;0.036;208;31;2.2;44.9;0.271296916
